Time, Operation, SL, TP1, TP2, TP3 
2019.05.31 07:34, BUY, 72, 20, 50, 100
,,,20,50,100
2019.05.28 11:20, BUY, 149, 20, 50, 100
,,,20,50,100
2019.05.20 19:51, BUY, 85, 20, 50, 100
,,,20,50,100
2019.05.15 16:20, BUY, 33, 20, 50, 100
,,,20,-33,-33
2019.05.10 20:41, BUY, 55, 20, 50, 100
,,,20,-55,-55
2019.05.06 18:23, BUY, 42, 20, 50, 100
,,,20,50,-42
2019.05.01 15:56, BUY, 45, 20, 50, 100
,,,20,-45,-45
2019.04.29 15:20, BUY, 100, 20, 50, 100
,,,20,50,100
2019.04.24 16:09, SELL, 34, 20, 50, 100
,,,20,-34,-34
2019.03.29 20:33, BUY, 50, 20, 50, 100
,,,20,50,-50
