Date,Time,Position,Entry,SL,TP1,TP2,TP3
5/31/2019,7:34,BUY EURUSD,1.1131,1.1097,1.1151,1.1181,1.1231
5/28/2019,11:20,BUY EURUSD,1.1149,1.1100,1.1169,1.1199,1.1249
5/20/2019,19:51,BUY EURUSD,1.1157,1.1083,1.1177,1.1207,1.1257
5/15/2019,16:20,EURUSD BUY,1.1212,1.1160,1.1232,1.1262,1.1313
5/10/2019,20:41,BUY EURUSD,1.1229,1.1170,1.1249,1.1279,1.1329
5/6/2019,18:23,BUY EURUSD,1.1192,1.1100,1.1212,1.1242,1.1292
5/1/2019,15:56,BUY EURUSD,1.1214,1.1170,1.1234,1.1264,1.1314
4/29/2019,15:20,BUY EURUSD,1.1160,1.1116,1.1180,1.1210,1.1260
4/24/2019,16:09,SELL EURUSD,1.1209,1.1253,1.1189,1.1159,1.1109
3/29/2019,20:33,BUY EURUSD,1.1233,1.1119,1.1253,1.1283,1.1333
